,Molecule ChEMBL ID,Smiles
140,CHEMBL2180323,COc1ccc(-c2csc(N/N=C(\C)COc3ccccc3)n2)cc1
141,CHEMBL3220737,[O-][n+]1onc2ccc(CN3CCN(/C(=N/c4ccccc4)Nc4ccccc4)CC3)cc21
142,CHEMBL3220741,CC1(C)[N+]([O-])=c2ccc(CN3CCN(/C(=N/c4ccccc4)NCc4ccco4)CC3)cc2=[N+]1[O-]
143,CHEMBL3121909,C/C(=N\NC(N)=S)C(C)Oc1ccc(Oc2ccccc2)cc1
144,CHEMBL374508,CC(C)C[C@H](NC(=O)[C@H]1O[C@@H]1C(=O)O)C(=O)NCCCCN=C(N)N
145,CHEMBL391827,O=S(=O)(/C=C\c1ccc2c(c1)no[n+]2[O-])c1ccccc1
146,CHEMBL391827,O=S(=O)(/C=C\c1ccc2c(c1)no[n+]2[O-])c1ccccc1
147,CHEMBL238429,O=S(=O)(/C=C/c1ccc2c(c1)no[n+]2[O-])c1ccccc1
148,CHEMBL2417578,NC(=S)N/N=C(\CNC(=O)CCC(=O)O)c1ccc([N+](=O)[O-])cc1
149,CHEMBL249810,CCOC(=O)[C@H]1O[C@H]1[C@H](O)[C@H](CCc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1
150,CHEMBL238429,O=S(=O)(/C=C/c1ccc2c(c1)no[n+]2[O-])c1ccccc1
151,CHEMBL3221949,NC(=[Se])N/N=C/c1cccc(Br)c1
152,CHEMBL3329516,C/C(=N\Nc1nc(-c2ccc(Br)cc2)cs1)c1ccccn1
153,CHEMBL3329517,C/C(=N\Nc1nc(-c2ccc(Br)cc2)c(C)s1)c1ccccn1
154,CHEMBL3329524,C/C(=N\Nc1nc(-c2ccc3ccccc3c2)cs1)c1ccccn1
155,CHEMBL3329510,Clc1ccc(-c2csc(N/N=C/c3ccccn3)n2)cc1
156,CHEMBL4172011,C/C(=N\Nc1nc(-c2ccc(Cl)c(Cl)c2Cl)cs1)c1ccc(Cl)c(Cl)c1
157,CHEMBL4161411,C/C(=N\Nc1nc(-c2ccc(Br)cc2)cs1)c1ccc(Cl)c(Cl)c1
158,CHEMBL452599,FC(F)(F)c1ccnc(N/N=C/c2ccccc2)n1
159,CHEMBL460049,C=CCNC(=S)N/N=C/c1ccc2no[n+]([O-])c2c1
160,CHEMBL2180340,C/C(COc1ccccc1)=N\N=C1\SC(C)C(=O)N1c1ccccc1
